energy,danceability,valence,liveness,instrumentalness,acousticness,speechiness,On_chart,Cluster
0.14,0.325,0.177,0.207,0.925,0.954,0.0384,0,4
0.0552,0.274,0.0887,0.116,0.903,0.958,0.0406,0,4
0.11,0.292,0.139,0.0843,0.91,0.946,0.0343,0,4
0.187,0.416,0.5479999999999999,0.0867,0.924,0.97,0.0362,0,4
0.853,0.784,0.963,0.0678,1.64e-05,0.221,0.037,0,5
0.615,0.774,0.89,0.0622,0.0,0.154,0.0314,0,5
0.57,0.63,0.732,0.0672,0.0,0.428,0.0271,0,0
0.899,0.762,0.919,0.0956,0.000162,0.341,0.0463,0,5
0.653,0.679,0.6729999999999999,0.0694,0.0,0.6970000000000001,0.0288,0,0
0.8340000000000001,0.677,0.757,0.0851,0.0,0.332,0.037,0,5
0.65,0.6729999999999999,0.8220000000000001,0.112,0.0,0.408,0.0345,0,0
0.787,0.723,0.743,0.0656,0.000203,0.53,0.0503,0,0
0.627,0.8,0.872,0.299,3.72e-05,0.203,0.0457,0,5
0.608,0.847,0.866,0.0458,0.000553,0.3229999999999999,0.0502,0,5
0.662,0.7140000000000001,0.7170000000000001,0.0861,1.91e-05,0.59,0.036,0,0
0.594,0.795,0.861,0.0848,1.27e-06,0.496,0.0486,0,0
0.7879999999999999,0.784,0.72,0.185,2.59e-05,0.362,0.0437,0,5
0.902,0.8440000000000001,0.823,0.129,0.0,0.297,0.0545,0,5
0.6459999999999999,0.7909999999999999,0.8079999999999999,0.196,0.0,0.11,0.0349,0,5
0.462,0.614,0.626,0.086,0.0,0.52,0.0325,0,0
0.787,0.7709999999999999,0.89,0.182,0.0,0.307,0.0407,0,5
0.639,0.862,0.67,0.0508,0.00197,0.261,0.0962,0,5
0.535,0.7909999999999999,0.763,0.0649,1.14e-06,0.322,0.0307,0,5
0.5710000000000001,0.875,0.76,0.183,2.19e-05,0.0792,0.067,0,5
0.6829999999999999,0.807,0.913,0.0995,0.00224,0.732,0.0469,0,0
0.5710000000000001,0.544,0.6759999999999999,0.0547,8.85e-06,0.5820000000000001,0.0529,0,0
0.451,0.514,0.7809999999999999,0.0301,0.0,0.147,0.0492,0,5
0.7879999999999999,0.784,0.72,0.185,2.59e-05,0.362,0.0437,0,5
0.687,0.778,0.765,0.0276,0.0,0.657,0.0368,0,0
0.464,0.773,0.7829999999999999,0.19,0.0,0.0875,0.0394,0,5
0.411,0.608,0.6629999999999999,0.344,2.53e-05,0.55,0.039,0,0
0.715,0.7390000000000001,0.8079999999999999,0.0915,0.00201,0.248,0.0566,0,5
0.775,0.463,0.813,0.0915,1.65e-05,0.491,0.0308,0,0
0.6409999999999999,0.494,0.622,0.046,0.0,0.407,0.0268,0,0
0.698,0.7909999999999999,0.511,0.214,0.0,0.258,0.264,0,9
0.878,0.688,0.935,0.301,0.0,0.322,0.194,0,5
0.942,0.669,0.693,0.0816,0.0,0.453,0.341,0,0
0.762,0.7609999999999999,0.598,0.114,1.73e-06,0.443,0.272,0,0
0.47,0.797,0.895,0.039,0.0,0.0067,0.295,0,5
0.773,0.921,0.888,0.0798,0.0,0.402,0.224,0,5
0.51,0.621,0.242,0.205,1.56e-06,0.0262,0.258,0,9
0.7170000000000001,0.812,0.755,0.444,1.52e-05,0.00266,0.103,0,5
0.153,0.579,0.69,0.103,0.655,0.0944,0.053,0,1
0.0889,0.28,0.138,0.138,3.5700000000000014e-05,0.897,0.0407,0,2
0.219,0.198,0.325,0.209,0.959,0.178,0.036,0,8
0.0114,0.0636,0.0393,0.101,0.976,0.723,0.0488,0,4
0.26,0.1669999999999999,0.122,0.0944,0.916,0.203,0.0375,0,8
0.0559,0.172,0.3229999999999999,0.0782,0.255,0.813,0.0375,0,2
0.00622,0.1639999999999999,0.0387,0.132,0.913,0.597,0.0415,0,4
0.0044,0.0679,0.0366,0.104,0.915,0.907,0.0401,0,4
0.00351,0.124,0.0387,0.103,0.986,0.9,0.042,0,4
0.172,0.424,0.8440000000000001,0.166,0.122,0.872,0.0438,0,2
0.0423,0.165,0.212,0.115,0.49,0.7929999999999999,0.0373,0,4
0.0294,0.186,0.253,0.095,0.941,0.892,0.0399,0,4
0.246,0.0674,0.153,0.114,0.923,0.8959999999999999,0.0371,0,4
0.115,0.316,0.306,0.132,5.16e-06,0.8540000000000001,0.039,0,2
0.0763,0.212,0.435,0.095,0.00117,0.845,0.0397,0,2
0.0195,0.189,0.0868,0.222,0.929,0.593,0.0438,0,4
0.0943,0.233,0.411,0.0708,0.0318,0.847,0.0371,0,2
0.18,0.334,0.386,0.108,0.843,0.993,0.0394,0,4
0.096,0.316,0.239,0.199,0.8640000000000001,0.995,0.0511,0,4
0.0236,0.44,0.176,0.0674,0.884,0.995,0.0635,0,4
0.277,0.397,0.711,0.151,0.0,0.818,0.0383,0,2
0.328,0.454,0.737,0.133,0.0148,0.792,0.0376,0,0
0.114,0.26,0.278,0.165,0.000364,0.777,0.0379,0,2
0.235,0.376,0.276,0.112,0.92,0.995,0.0464,0,4
0.0418,0.14,0.0379,0.0604,0.873,0.743,0.0367,0,4
0.0629,0.153,0.0784,0.0439,0.915,0.855,0.0329,0,4
0.0417,0.4,0.304,0.115,0.893,0.995,0.0509,0,4
0.16,0.168,0.102,0.562,0.904,0.18,0.0393,0,8
0.12,0.161,0.0529,0.103,0.8740000000000001,0.484,0.0355,0,4
0.114,0.327,0.265,0.0845,0.867,0.995,0.0495,0,4
0.0509,0.312,0.191,0.0699,0.871,0.994,0.0405,0,4
0.108,0.229,0.627,0.0994,0.879,0.995,0.0391,0,4
0.0923,0.392,0.154,0.128,0.8540000000000001,0.995,0.0554,0,4
0.0298,0.356,0.265,0.0996,0.895,0.995,0.0516,0,4
0.072,0.294,0.117,0.113,0.887,0.995,0.0572,0,4
0.17,0.337,0.304,0.154,0.875,0.994,0.0404,0,4
0.0612,0.262,0.185,0.208,0.8540000000000001,0.995,0.0524,0,4
0.0564,0.404,0.297,0.173,0.889,0.996,0.065,0,4
0.0925,0.245,0.392,0.12,0.865,0.995,0.0459,0,4
0.266,0.504,0.594,0.265,0.129,0.887,0.0425,0,2
0.223,0.435,0.737,0.109,0.00515,0.8290000000000001,0.0407,0,2
0.313,0.443,0.821,0.0719,0.00245,0.794,0.0395,0,0
0.1639999999999999,0.41,0.804,0.331,0.621,0.893,0.0399,0,4
0.172,0.531,0.754,0.0643,0.000459,0.8340000000000001,0.0456,0,2
0.157,0.339,0.247,0.095,0.893,0.995,0.0395,0,4
0.0894,0.221,0.411,0.096,0.8690000000000001,0.994,0.0393,0,4
0.0741,0.389,0.248,0.12,0.899,0.995,0.0408,0,4
0.128,0.389,0.365,0.0697,0.866,0.995,0.0396,0,4
0.101,0.344,0.237,0.12,0.884,0.994,0.043,0,4
0.0362,0.336,0.23,0.0925,0.9,0.995,0.0443,0,4
0.0554,0.314,0.286,0.0737,0.925,0.995,0.0614,0,4
0.0816,0.355,0.266,0.0921,0.906,0.995,0.0408,0,4
0.0365,0.368,0.228,0.0901,0.91,0.995,0.0427,0,4
0.108,0.381,0.348,0.105,0.933,0.995,0.051,0,4
0.119,0.393,0.247,0.0831,0.936,0.995,0.0537,0,4
0.152,0.358,0.607,0.105,0.871,0.995,0.0445,0,4
0.102,0.458,0.264,0.271,0.872,0.994,0.0642,0,4
0.0959,0.343,0.354,0.0972,0.904,0.994,0.0384,0,4
0.0793,0.466,0.127,0.141,0.904,0.996,0.0663,0,4
0.17,0.319,0.26,0.079,0.826,0.994,0.0543,0,4
0.102,0.303,0.343,0.118,0.836,0.993,0.0405,0,4
0.0189,0.53,0.097,0.0769,0.851,0.994,0.107,0,4
0.0263,0.201,0.189,0.0882,0.905,0.995,0.0593,0,4
0.0151,0.4320000000000001,0.23,0.0984,0.85,0.995,0.0557,0,4
0.0715,0.267,0.21,0.0768,0.000244,0.872,0.0423,0,2
0.158,0.382,0.823,0.0804,9.44e-05,0.8759999999999999,0.0354,0,2
0.0447,0.362,0.359,0.0863,1.4e-05,0.848,0.0361,0,2
0.353,0.486,0.973,0.0998,0.414,0.8059999999999999,0.0459,0,0
0.0456,0.246,0.337,0.255,5.39e-05,0.88,0.039,0,2
0.175,0.64,0.903,0.104,0.0156,0.8340000000000001,0.0456,0,0
0.0315,0.261,0.515,0.186,0.00166,0.897,0.0421,0,2
0.0335,0.262,0.315,0.0913,0.0,0.866,0.04,0,2
0.211,0.614,0.953,0.0852,0.00508,0.836,0.0568,0,0
0.0371,0.298,0.398,0.0711,8.159999999999999e-05,0.902,0.0353,0,2
0.145,0.526,0.928,0.0819999999999999,0.0591,0.8909999999999999,0.0527,0,0
0.0892,0.355,0.214,0.101,0.907,0.995,0.0527,0,4
0.113,0.257,0.326,0.123,0.93,0.995,0.0426,0,4
0.182,0.313,0.421,0.0776,0.916,0.995,0.0445,0,4
0.179,0.411,0.289,0.159,0.909,0.995,0.0688,0,4
0.148,0.4370000000000001,0.279,0.104,0.93,0.995,0.0515,0,4
0.113,0.34,0.255,0.11,0.922,0.995,0.0411,0,4
0.163,0.398,0.417,0.122,0.91,0.995,0.0493,0,4
0.0698,0.331,0.351,0.121,0.0412,0.942,0.0441,0,2
0.0495,0.243,0.232,0.1369999999999999,0.0927,0.962,0.049,0,2
0.0636,0.365,0.655,0.11,0.00275,0.977,0.0652,0,2
0.0461,0.191,0.0484,0.196,0.488,0.953,0.047,0,4
0.0537,0.271,0.194,0.107,0.217,0.945,0.0546,0,2
0.0657,0.431,0.491,0.279,0.00177,0.937,0.0537,0,2
0.0647,0.307,0.276,0.113,0.176,0.955,0.0741,0,2
